Year,Country,Population,Sugar,Female_BMI,Male_BMI,Av_BMI,GDP,Life_Expectency,Continent
1993,Italy,0.30678340195160597,0.43477570884468897,0.7446507666047729,0.8437742769617758,0.7919204482627465,0.2761670049289649,0.9390243902439024,Europe
1994,Italy,0.3069002750714616,0.42028142192128654,0.7440451222996733,0.8451280310639863,0.7922491951895666,0.2874746303276312,0.9390243902439024,Europe
1995,Italy,0.3069055029836361,0.43477570884468897,0.7435414181251351,0.8462952986317085,0.7925423383223085,0.3028414033053059,0.9512195121951219,Europe
1996,Italy,0.3067538236818006,0.43477570884468897,0.7430874847202238,0.8476010332735392,0.7929275494159488,0.31356915047839956,0.9512195121951219,Europe
1997,Italy,0.30649972458359287,0.44926999576809146,0.7426758264871041,0.8487117299701292,0.7932418666112481,0.32676138011017686,0.9512195121951219,Europe
1998,Italy,0.30631879476389723,0.4637642826914939,0.7425316111847512,0.8500852180971532,0.7938214085456947,0.3429979704262105,0.9512195121951219,Europe
1999,Italy,0.30644940660053627,0.42028142192128654,0.7424269726389691,0.8515685589623061,0.7944740402071921,0.3511162655842273,0.9634146341463414,Europe
2000,Italy,0.30705027800269236,0.43477570884468897,0.7424890361890462,0.8532673295983402,0.7953166110520764,0.3705421861409104,0.9634146341463414,Europe
2001,Italy,0.30818987688900845,0.44926999576809146,0.7425510997391231,0.8549976746740762,0.7961742390081129,0.3927225282690635,0.9634146341463414,Europe
2002,Italy,0.3097829555158457,0.44926999576809146,0.742569688821755,0.8570440930472426,0.7971598524089417,0.38793853290808933,0.975609756097561,Europe
2003,Italy,0.3116437591250373,0.44926999576809146,0.7426503414544637,0.8590822889100701,0.7981740115829965,0.39257755871267036,0.975609756097561,Europe
2004,Italy,0.31350457885317695,0.44926999576809146,0.742960059557022,0.8614707637133383,0.7994750400934796,0.39765149318643084,0.975609756097561,Europe
1980,Jamaica,0.011511282326100474,0.7971328819297503,0.740632226693263,0.7344892209467464,0.7377027710574092,0.033198028414033055,0.8658536585365854,North America
1981,Jamaica,0.011689643860061891,0.6811785865425307,0.7423298296910223,0.7353828433703873,0.7390169745401503,0.037837054218614094,0.8780487804878049,North America
1982,Jamaica,0.011887186942289431,0.6232014388489209,0.7437048221579466,0.7362363399435737,0.7401432778233064,0.040301536677297765,0.8780487804878049,North America
1983,Jamaica,0.012088620063997274,0.6376957257723234,0.7453760406513255,0.7372335659974858,0.7414930851001259,0.040881414902870394,0.8780487804878049,North America
1984,Jamaica,0.012272526516112934,0.6521900126957259,0.747565055043173,0.7381834303918453,0.7430911778660465,0.039431719338938825,0.8780487804878049,North America
1985,Jamaica,0.012424146715138636,0.6232014388489209,0.7491592187908042,0.7388931974843065,0.7442635935521059,0.03856190200057988,0.8780487804878049,North America
1986,Jamaica,0.012537462920441875,0.6521900126957259,0.7511242647193302,0.7397499830616288,0.7457001360629576,0.040881414902870394,0.8780487804878049,North America
1987,Jamaica,0.012618836743548443,0.6956728734659331,0.7536373887615803,0.7410826875373713,0.7476503456469656,0.044940562481878804,0.8902439024390244,North America
1988,Jamaica,0.01268109349418138,0.7391557342361404,0.7561822941386523,0.7424341393366868,0.7496261209509507,0.048999710060887214,0.8902439024390244,North America
1989,Jamaica,0.012743172936384965,0.8116271688531528,0.7590366177943694,0.7438168366752904,0.7517786604660647,0.054653522760220355,0.9024390243902439,North America
1990,Jamaica,0.01281889438168314,0.7391557342361404,0.7616903592520112,0.745262353992884,0.753856228115234,0.05784285300086982,0.9024390243902439,North America
1991,Jamaica,0.0129117180309396,0.7391557342361404,0.76425955036607,0.7467950299200706,0.7559311294009701,0.061757031023485065,0.9024390243902439,North America
1992,Jamaica,0.013017571163261986,0.7246614473127381,0.7671252673304968,0.7484980762614811,0.7582423959628122,0.06509133082052769,0.9024390243902439,North America
1993,Jamaica,0.013133654454659638,0.7536500211595429,0.770556152371712,0.7506638854847696,0.7610699959612437,0.07581907799362134,0.9024390243902439,North America
1994,Jamaica,0.013254627160321202,0.7536500211595429,0.7741849211957816,0.7530155234417191,0.7640897309717718,0.0769788344447666,0.9024390243902439,North America
1995,Jamaica,0.013376255369873094,0.565224291155311,0.7776916616870911,0.7551915285778279,0.7669618749240281,0.08060307335459553,0.9024390243902439,North America
1996,Jamaica,0.013498759375606325,0.7246614473127381,0.7813390195937926,0.7576559793766284,0.7700451321222294,0.0827776167004929,0.9024390243902439,North America
1997,Jamaica,0.013622891395099958,0.6811785865425307,0.7843687402388576,0.7600043283294424,0.7727499225578268,0.08292258625688606,0.8902439024390244,North America
1998,Jamaica,0.013745384654867772,0.7101671603893356,0.7874131522556802,0.7623066312243582,0.7754404401068113,0.07987822557262975,0.8902439024390244,North America
1999,Jamaica,0.013862150315069289,0.7246614473127381,0.7904275818811611,0.7647266804673281,0.7781714236420172,0.08118295158016817,0.8902439024390244,North America
2000,Jamaica,0.013970265473111572,0.8405628438425731,0.7931628754432521,0.767108577262325,0.7807381905587208,0.08306755581327921,0.8902439024390244,North America
2001,Jamaica,0.01406821494787108,0.8260685569191706,0.7962768466079871,0.7697424117741085,0.7836231957934197,0.08466222093360394,0.8902439024390244,North America
2002,Jamaica,0.014156622005341896,0.7971328819297503,0.7989755616526414,0.7723032303940818,0.7862561512612292,0.08524209915917658,0.8902439024390244,North America
2003,Jamaica,0.014237463903160412,0.7826385950063478,0.8019651058933088,0.7749640347397773,0.7890889271416193,0.09118585097129603,0.9024390243902439,North America
2004,Jamaica,0.014313889209193284,0.7826385950063478,0.8044857255333941,0.7778310596447743,0.7917747393433688,0.09495505943751813,0.9024390243902439,North America
1980,Japan,0.6227937303932809,0.4782585696148963,0.6388602973473678,0.7268962259993146,0.6808425708448842,0.12380400115975645,0.926829268292683,Asia
1981,Japan,0.6276802701114463,0.40578713499788405,0.6394485518654894,0.7274642370135316,0.681421171709884,0.13975065236300377,0.926829268292683,Asia
1982,Japan,0.6324479863170334,0.4782585696148963,0.6401459422880942,0.7281263135460266,0.6821017217649757,0.15250797332560162,0.926829268292683,Asia
1983,Japan,0.6369783671304603,0.4637642826914939,0.6409329800608102,0.7287400417177284,0.6828061122460582,0.16251087271672948,0.9390243902439024,Asia
1984,Japan,0.6410984992222312,0.4637642826914939,0.6417227162487471,0.7292462194541962,0.6834606260464496,0.17512322412293418,0.9390243902439024,Asia
1985,Japan,0.6446970114067833,0.4782585696148963,0.6425787135215487,0.7298007455514574,0.6841728587729239,0.1910698753261815,0.9390243902439024,Asia
1986,Japan,0.6477208830907576,0.4782585696148963,0.643412823648671,0.730476635901322,0.6849315175921169,0.1996230791533778,0.9512195121951219,Asia
1987,Japan,0.6502481998318439,0.4782585696148963,0.6445146765304737,0.7313936102543255,0.6859452062314483,0.2132502174543346,0.9512195121951219,Asia
1988,Japan,0.6524570974987298,0.4927528565382988,0.6458653832604111,0.7326513254357766,0.6872515674687977,0.23543055958248768,0.9512195121951219,Asia
